type,Name,class,Due Date,Done
PSET,WS 1.1,MATH 1554,"August 24, 2021",Yes
Reading,Knight 1-1.8,PHYS 2211,"August 25, 2021",Yes
PSET,WS 1.2,MATH 1554,"August 26, 2021",Yes
Reading,"Smith, Chapter 1",POL 1101,"August 26, 2021",Yes
Quiz,Quiz 0,MATH 1554,"August 26, 2021",Yes
MyLab HW,Motion Practice,PHYS 2211,"August 27, 2021",Yes
MyLab HW,Uniform Motion (HW1C),PHYS 2211,"August 27, 2021",Yes
Gradescope,Explorations I,MATH 1554,"August 27, 2021",Yes
Exam,Diagnostic Exam,PHYS 2211,"August 29, 2021",Yes
MyLab HW,Concepts of Motion (HW1B),PHYS 2211,"August 30, 2021",Yes
MyLab HW,"1.3, 1.4",MATH 1554,"August 31, 2021",Yes
MyLab HW,"1.1, 1.2",MATH 1554,"August 31, 2021",Yes
Gradescope,PE 0,CS 1331,"August 31, 2021",Yes
Canvas Quiz,First Day Survey,CS 1331,"August 31, 2021",Yes
Reading,The US Constitution,POL 1101,"August 31, 2021",Yes
Reading,Smith Chapter 2,POL 1101,"September 2, 2021",Yes
MyLab HW,1.5 Solution Sets,MATH 1554,"September 2, 2021",Yes
Quiz,Quiz 1,MATH 1554,"September 2, 2021",Yes
MyLab HW,HW 2b: Non constant acceleration,PHYS 2211,"September 3, 2021",Yes
MyLab HW,HW 2a: Constant Acceleration,PHYS 2211,"September 3, 2021",Yes
MyLab HW,HW 2p: Acceleration and Vector Practice,PHYS 2211,"September 3, 2021",Yes
MyLab HW,HW 2C: Vector Operations,PHYS 2211,"September 3, 2021",Yes
PSET,Exploration 2,MATH 1554,"September 3, 2021",Yes
Quiz,Strengths Quest Assessment,CS 1100,"September 6, 2021",Yes
PSET,PE 1,CS 1331,"September 6, 2021",Yes
Reading,Smith Chapter 3,POL 1101,"September 7, 2021",Yes
PSET,WS 1.7,MATH 1554,"September 7, 2021",Yes
MyLab HW,1.7 Linear Independence,MATH 1554,"September 7, 2021",Yes
Lab,Lab #2,PHYS 2211,"September 8, 2021",Yes
MyLab HW,1.8 Introduction to Linear Transforms,MATH 1554,"September 9, 2021",Yes
PSET,Exploration #3,MATH 1554,"September 10, 2021",Yes
PSET,PE 2,CS 1331,"September 10, 2021",Yes
Canvas Quiz,Participation Quiz CS1331,CS 1331,"September 11, 2021",Yes
PSET,Studio #2,PHYS 2211,"September 13, 2021",Yes
MyLab HW,2.1 Matrix Operations,MATH 1554,"September 14, 2021",Yes
MyLab HW,1.9 Linear Transformations,MATH 1554,"September 14, 2021",Yes
Exam,Exam 1,MATH 1554,"September 15, 2021",Yes
Exam,Test #1,POL 1101,"September 16, 2021",Yes
PSET,PE 3,CS 1331,"September 16, 2021",Yes
PSET,Exploration #4,MATH 1554,"September 17, 2021",Yes
MyLab HW,HW 3a,PHYS 2211,"September 18, 2021",Yes
MyLab HW,HW 3b,PHYS 2211,"September 18, 2021",Yes
MyLab HW,HW 3p,PHYS 2211,"September 18, 2021",Yes
Club Work,Big Data Big Analytics Application,Clubs,"September 18, 2021",Yes
Quiz,Quiz #1,PHYS 2211,"September 20, 2021",Yes
PSET,Studio 3,PHYS 2211,"September 20, 2021",Yes
MyLab HW,4a: Uniform Circular Motion,PHYS 2211,"September 20, 2021",Yes
MyLab HW,4c: Forces,PHYS 2211,"September 20, 2021",Yes
MyLab HW,"2.2, 2.3, 2.4",MATH 1554,"September 21, 2021",Yes
Reading,Strengthening Economy,POL 1101,"September 21, 2021",Yes
Reading,Smith Chapter 4: Finance,POL 1101,"September 21, 2021",Yes
MyLab HW,4p: Circular Motion + Forces,PHYS 2211,"September 21, 2021",Yes
MyLab HW,5a: Newton's Laws,PHYS 2211,"September 22, 2021",Yes
Quiz,Quiz 2,MATH 1554,"September 23, 2021",Yes
PSET,PE 4,CS 1331,"September 23, 2021",Yes
MyLab HW,2.5,MATH 1554,"September 23, 2021",Yes
MyLab HW,5b: Equilibrium of a Particle,PHYS 2211,"September 24, 2021",Yes
PSET,Exploration 5,MATH 1554,"September 24, 2021",Yes
Exam,Exam 1,CS 1331,"September 24, 2021",Yes
MyLab HW,"5c: Mass, Weight, and Gravity",PHYS 2211,"September 27, 2021",Yes
Essay,Resume,CS 1100,"September 27, 2021",Yes
MyLab HW,5p: Force Practice,PHYS 2211,"September 27, 2021",Yes
PSET,Studio #4,PHYS 2211,"September 27, 2021",Yes
Project,Public Lecture 1 September,PHYS 2211,"September 28, 2021",Yes
Canvas Quiz,Participation Quiz Classes,CS 1331,"September 28, 2021",Yes
MyLab HW,2.7: Computer Graphics,MATH 1554,"September 28, 2021",Yes
Reading,Smith Chapter 5,POL 1101,"September 28, 2021",Yes
MyLab HW,2.6: Leontief Model,MATH 1554,"September 28, 2021",Yes
Reading,The Voting Rights Act,POL 1101,"September 28, 2021",Yes
Reading,Voter Turnout by State,POL 1101,"September 28, 2021",Yes
Reading,The Nature of Public Opinion,POL 1101,"September 28, 2021",Yes
Reading,Voting Rights Act in 2021,POL 1101,"September 28, 2021",Yes
Lab,Lab #4,PHYS 2211,"September 29, 2021",Yes
MyLab HW,6a: Friction and Drag,PHYS 2211,"September 29, 2021",Yes
MyLab HW,6b: Newton's 2nd Law Applications,PHYS 2211,"September 29, 2021",Yes
Quiz,Quiz 3,MATH 1554,"September 30, 2021",Yes
MyLab HW,2.8: Subspaces,MATH 1554,"September 30, 2021",Yes
PSET,Homework 1,CS 1331,"September 30, 2021",Yes
PSET,Exploration 6,MATH 1554,"October 1, 2021",Yes
MyLab HW,6c: Interaction Pairs,PHYS 2211,"October 2, 2021",Yes
MyLab HW,6p: More Force Practice,PHYS 2211,"October 3, 2021",Yes
PSET,Studio #5,PHYS 2211,"October 4, 2021",Yes
