type,Name,class,Due Date,Done
Quiz,Quiz #2,PHYS 2211,"October 4, 2021",Yes
Reading,The US has a collective action problem,POL 1101,"October 5, 2021",Yes
MyLab HW,2.9: Dimension and Rank,MATH 1554,"October 5, 2021",Yes
Reading,"Smith, Chapter 6",POL 1101,"October 5, 2021",Yes
Reading,A mere mom,POL 1101,"October 5, 2021",Yes
Reading,How the pandemic changed social media,POL 1101,"October 5, 2021",Yes
Lab,Lab #5,PHYS 2211,"October 6, 2021",Yes
MyLab HW,HW 7A: Newton's Third Law,PHYS 2211,"October 6, 2021",Yes
Random,Group Contract,POL 1101,"October 7, 2021",Yes
Reading,Parkhurst: What is Good Evidence for Policy?,POL 1101,"October 7, 2021",Yes
PSET,HW 2,CS 1331,"October 7, 2021",Yes
Quiz,Quiz 4,MATH 1554,"October 7, 2021",Yes
MyLab HW,3.1-3.3: Determinants,MATH 1554,"October 8, 2021",Yes
PSET,Exploration 7,MATH 1554,"October 8, 2021",Yes
MyLab HW,HW7B: 2D Dynamics,PHYS 2211,"October 8, 2021",Yes
Training Course,Courses,GTech,"October 8, 2021",Yes
MyLab HW,7c: Circular Dynamics,PHYS 2211,"October 10, 2021",Yes
MyLab HW,HW7p: Third Law,PHYS 2211,"October 10, 2021",Yes
MyLab HW,HW9a: Work and Force,PHYS 2211,"October 13, 2021",Yes
MyLab HW,5.1 Eigenvalues,MATH 1554,"October 14, 2021",Yes
Exam,Test #2,POL 1101,"October 14, 2021",Yes
PSET,HW 4,CS 1331,"October 14, 2021",Yes
MyLab HW,4.9 Markov Chains,MATH 1554,"October 14, 2021",Yes
PSET,Exploration 8,MATH 1554,"October 15, 2021",Yes
MyLab HW,HW 8a: Universal Gravitation Force,PHYS 2211,"October 15, 2021",Yes
Exam,Exam 2,CS 1331,"October 15, 2021",Yes
MyLab HW,HW 8p: Gravitation and Work Practice,PHYS 2211,"October 18, 2021",Yes
MyLab HW,HW 8b: Work and Kinetic Energy,PHYS 2211,"October 18, 2021",Yes
MyLab HW,HW 9c: Potential Energy,PHYS 2211,"October 18, 2021",Yes
PSET,Studio 6: Safety Check,PHYS 2211,"October 18, 2021",Yes
MyLab HW,5.2: Characteristic Equation,MATH 1554,"October 19, 2021",Yes
Reading,"Smith Chapter 7: State Legislatures ",POL 1101,"October 19, 2021",Yes
Reading,Wyoming Freshman Lawmakers,POL 1101,"October 19, 2021",Yes
MyLab HW,"HW 9b: Thermal Energy, Power",PHYS 2211,"October 20, 2021",Yes
Lab,Lab 7,PHYS 2211,"October 20, 2021",Yes
Exam,Exam 2,MATH 1554,"October 20, 2021",Yes
PSET,HW 4,CS 1331,"October 21, 2021",Yes
MyLab HW,HW 9p,PHYS 2211,"October 21, 2021",Yes
PSET,Exploration 9,MATH 1554,"October 21, 2021",Yes
Essay,Annotated Bibliography,POL 1101,"October 24, 2021",Yes
PSET,Studio 7,PHYS 2211,"October 25, 2021",Yes
Quiz,Quiz #3,PHYS 2211,"October 25, 2021",Yes
Reading,Polisci Reading,POL 1101,"October 26, 2021",Yes
MyLab HW,5.5: Complex Eigenvalues,MATH 1554,"October 26, 2021",Yes
MyLab HW,5.3: Diagonalization,MATH 1554,"October 26, 2021",Yes
MyLab HW,HW 10a,PHYS 2211,"October 27, 2021",Yes
Lab,Lab 10,PHYS 2211,"October 27, 2021",Yes
PSET,HW5,CS 1331,"October 28, 2021",Yes
MyLab HW,Google PageRank,MATH 1554,"October 28, 2021",Yes
Quiz,Quiz 5,MATH 1554,"October 28, 2021",Yes
MyLab HW,HW 10c,PHYS 2211,"October 29, 2021",Yes
MyLab HW,HW 10b,PHYS 2211,"October 29, 2021",Yes
PSET,Exploration 10,MATH 1554,"October 29, 2021",Yes
Reading,Public Lecture October,PHYS 2211,"October 29, 2021",Yes
MyLab HW,HW 10p,PHYS 2211,"November 1, 2021",Yes
PSET,Studio 08,PHYS 2211,"November 1, 2021",Yes
MyLab HW,6.1 Inner Products,MATH 1554,"November 2, 2021",Yes
Exam,"Exam 3 ",POL 1101,"November 2, 2021",Yes
MyLab HW,6.2 Orthogonality,MATH 1554,"November 2, 2021",Yes
MyLab HW,HW 11a,PHYS 2211,"November 3, 2021",Yes
Lab,Lab 13,PHYS 2211,"November 3, 2021",Yes
Reading,Government Jobs,POL 1101,"November 4, 2021",Yes
MyLab HW,6.3: Orthogonal Projection,MATH 1554,"November 4, 2021",Yes
Quiz,Quiz 6,MATH 1554,"November 4, 2021",Yes
PSET,Homework 6,CS 1331,"November 4, 2021",Yes
PSET,PE 5,CS 1331,"November 4, 2021",Yes
PSET,Exploration 11 (Matlab #3),MATH 1554,"November 5, 2021",Yes
MyLab HW,HW 11b,PHYS 2211,"November 5, 2021",Yes
MyLab HW,HW 11c,PHYS 2211,"November 5, 2021",Yes
Exam,Exam 3,CS 1331,"November 5, 2021",Yes
MyLab HW,HW 11p,PHYS 2211,"November 8, 2021",Yes
PSET,Studio 09,PHYS 2211,"November 8, 2021",Yes
MyLab HW,6.4 Gram-Schmidt,MATH 1554,"November 9, 2021",Yes
Reading,Smith Chapter 10,POL 1101,"November 9, 2021",Yes
MyLab HW,HW 12a,PHYS 2211,"November 9, 2021",Yes
Lab,Lab 9,PHYS 2211,"November 10, 2021",Yes
MyLab HW,HW 12b,PHYS 2211,"November 10, 2021",Yes
MyLab HW,6.5 Least Squares,MATH 1554,"November 11, 2021",Yes
Reading,Tribal Nations and the US,POL 1101,"November 11, 2021",Yes
PSET,HW7,CS 1331,"November 11, 2021",Yes
Reading,Native Americans Elected,POL 1101,"November 11, 2021",Yes
Reading,Native American Policies - Consultation,POL 1101,"November 11, 2021",Yes
Reading,Native American Policies - Sovereignty,POL 1101,"November 11, 2021",Yes
MyLab HW,HW 12c,PHYS 2211,"November 11, 2021",Yes
PSET,Exploration 12,MATH 1554,"November 12, 2021",Yes
MyLab HW,HW 12p,PHYS 2211,"November 12, 2021",Yes
Project,Thread Presentation,CS 1101,"November 12, 2021",Yes
Quiz,Quiz #4,PHYS 2211,"November 15, 2021",Yes
PSET,Studio 10,PHYS 2211,"November 15, 2021",Yes
MyLab HW,6.6 Linear Models,MATH 1554,"November 16, 2021",Yes
MyLab HW,HW 13a,PHYS 2211,"November 17, 2021",Yes
Exam,Exam 3,MATH 1554,"November 17, 2021",Yes
Lab,Lab 12,PHYS 2211,"November 17, 2021",Yes
PSET,HW 8 Java,CS 1331,"November 18, 2021",Yes
Reading,Smith Chapter 11,POL 1101,"November 18, 2021",Yes
MyLab HW,HW 13b,PHYS 2211,"November 19, 2021",Yes
PSET,Exploration 13,MATH 1554,"November 19, 2021",Yes
MyLab HW,HW 13p,PHYS 2211,"November 22, 2021",Yes
MyLab HW,HW 13c,PHYS 2211,"November 22, 2021",Yes
MyLab HW,7.2 Quadratic Forms,MATH 1554,"November 23, 2021",Yes
MyLab HW,7.1 Diagonalization of Symmetric Matrices,MATH 1554,"November 23, 2021",Yes
Exam,Test 4,POL 1101,"November 23, 2021",Yes
PSET,PE 6,CS 1331,"November 29, 2021",Yes
MyLab HW,14a,PHYS 2211,"November 29, 2021",Yes
MyLab HW,14p,PHYS 2211,"November 29, 2021",Yes
MyLab HW,7.3,MATH 1554,"November 30, 2021",Yes
MyLab HW,15a,PHYS 2211,"December 1, 2021",Yes
PSET,HW 9,CS 1331,"December 2, 2021",Yes
PSET,Exploration 15,MATH 1554,"December 2, 2021",Yes
Quiz,Quiz 7,MATH 1554,"December 2, 2021",Yes
MyLab HW,15b,PHYS 2211,"December 3, 2021",Yes
MyLab HW,7.4,MATH 1554,"December 3, 2021",Yes
PSET,Exploration 14,MATH 1554,"December 3, 2021",Yes
MyLab HW,15p,PHYS 2211,"December 6, 2021",Yes
Essay,Individual Paper,POL 1101,"December 6, 2021",Yes
MyLab HW,15c,PHYS 2211,"December 6, 2021",Yes
Project,Self-Review,POL 1101,"December 6, 2021",Yes
Exam,Advanced Standing Exam,MATH 2550,"December 10, 2021",Yes
Exam,FINAL EXAM,PHYS 2211,"December 10, 2021",Yes
Exam,FINAL EXAM,MATH 1554,"December 14, 2021",Yes
Exam,FINAL EXAM,CS 1331,"December 15, 2021",Yes
